referenceDesignator,deployYear,deployment,latitude,longitude,deploymentDepth,waterDepth
CE04OSPS-PC01B-05-ZPLSCB102,2020,7,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4A-CTDPFA109,2014,1,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-CTDPFA109,2015,2,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-CTDPFA109,2016,3,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-CTDPFA109,2017,4,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-CTDPFA109,2018,5,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4A-CTDPFA109,2019,6,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4A-CTDPFA109,2020,7,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4A-DOSTAD109,2014,1,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-DOSTAD109,2015,2,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-DOSTAD109,2016,3,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-DOSTAD109,2017,4,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4A-DOSTAD109,2018,5,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4A-DOSTAD109,2019,6,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4A-DOSTAD109,2020,7,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4B-PHSENA106,2014,1,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4B-PHSENA106,2015,2,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4B-PHSENA106,2016,3,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4B-PHSENA106,2017,4,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4B-PHSENA106,2018,5,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4B-PHSENA106,2019,6,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4B-PHSENA106,2020,7,44.37421,-124.95648,197,580
CE04OSPS-PC01B-4D-PCO2WA105,2014,1,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4D-PCO2WA105,2015,2,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4D-PCO2WA105,2016,3,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4D-PCO2WA105,2017,4,44.37416,-124.95648,190,580
CE04OSPS-PC01B-4D-PCO2WA105,2018,5,44.37421,-124.95648,197,580
