CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN407,,,,RS01SBPS-PC01A,9,1,2022-09-15T15:32:00,,ATAPL-67762-20001,ATAPL-69839-00101,,44.528904,-125.389149,,193,2903,,,
TN313,,,,RS01SBPS-SC01A,1,1,2014-09-29T01:53:00,2015-07-06T00:00:00,ATAPL-67762-20001,ATAPL-69140-00120,,44.528879,-125.389741,,195,2904,,,
TN326,,,,RS01SBPS-SC01A,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-67762-20001,ATAPL-69140-00123,,44.528879,-125.389741,,195,2904,,,
SKQ201610S,,,,RS01SBPS-SC01A,3,1,2016-07-18T00:19:00,2017-07-28T03:00:00,ATAPL-67762-20001,ATAPL-69140-00120,,44.528879,-125.389741,,195,2904,,,
RR1713,,,,RS01SBPS-SC01A,4,1,2017-08-04T19:30:00,2018-06-24T02:00:00,ATAPL-67762-20001,ATAPL-69140-00123,,44.528879,-125.389741,,195,2904,,,
RR1809,,,,RS01SBPS-SC01A,5,1,2018-06-24T02:00:00,2019-06-14T05:26:00,ATAPL-67762-20001,ATAPL-69140-00125,,44.528879,-125.389741,,195,2904,,,
AT42-12,,,,RS01SBPS-SC01A,6,1,2019-06-14T22:48:00,2020-08-02T19:41:01,ATAPL-67762-20001,ATAPL-69140-00123,,44.528879,-125.389741,,195,2904,,,
TN382,,,,RS01SBPS-SC01A,7,1,2020-08-03T15:17:57,2021-08-04T20:20:00,ATAPL-67762-20001,ATAPL-69140-00120,,44.528879,-125.389741,,195,2904,,,
TN393,,,,RS01SBPS-SC01A,8,1,2021-08-24T16:56:08,2022-09-02T20:45:00,ATAPL-67762-20001,ATAPL-69839-00123,,44.528879,-125.389741,,195,2904,,,
TN407,,,,RS01SBPS-SC01A,9,1,2022-09-15T15:32:00,,ATAPL-67762-20001,ATAPL-69839-00120,,44.528904,-125.389149,,193,2903,,,
TN313,,,,RS01SBPS-SF01A,1,1,2014-09-29T04:43:00,2015-07-06T00:00:00,ATAPL-67762-20001,ATAPL-68870-00140,,44.528879,-125.389741,,N/A,2904,,,
TN326,,,,RS01SBPS-SF01A,2,1,2015-07-07T20:47:00,2016-07-17T00:00:00,ATAPL-67762-20001,ATAPL-68870-00143,,44.528879,-125.389741,,N/A,2904,,,
SKQ201610S,,,,RS01SBPS-SF01A,3,1,2016-07-18T00:19:00,2017-07-28T03:00:00,ATAPL-67762-20001,ATAPL-68870-00140,,44.528879,-125.389741,,N/A,2904,,,
RR1713,,,,RS01SBPS-SF01A,4,1,2017-08-04T19:30:00,2018-06-24T02:00:00,ATAPL-67762-20001,ATAPL-68870-00143,,44.528879,-125.389741,,N/A,2904,,,
RR1809,,,,RS01SBPS-SF01A,5,1,2018-06-24T02:00:00,2018-07-09T12:00:00,ATAPL-67762-20001,ATAPL-68870-00140,,44.528879,-125.389741,,N/A,2904,,,
RR1810,,,,RS01SBPS-SF01A,6,1,2018-07-09T12:00:00,2019-06-14T05:26:00,ATAPL-67762-20001,ATAPL-68870-00145,,44.528879,-125.389741,,N/A,2904,,,
AT42-12,,,,RS01SBPS-SF01A,7,1,2019-06-14T22:48:00,2020-08-02T19:41:01,ATAPL-67762-20001,ATAPL-68870-00143,,44.528879,-125.389741,,N/A,2904,,,
TN382,,,,RS01SBPS-SF01A,8,1,2020-08-03T15:17:57,,ATAPL-67762-20001,ATAPL-68870-00140,,44.528879,-125.389741,,N/A,2904,,,
TN393,,,,RS01SBPS-SF01A,9,1,2021-08-24T16:56:08,2022-09-02T20:45:00,ATAPL-67762-20001,ATAPL-69839-00143,,44.528879,-125.389741,,N/A,2904,,,
TN407,,,,RS01SBPS-SF01A,10,1,2022-09-15T15:32:00,,ATAPL-67762-20001,ATAPL-69839-00140,,44.528904,-125.389149,,N/A,2903,,,
TN313,,,,RS01SLBS-LJ01A,1,1,2014-08-04T04:11:55,2015-07-05T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,,44.515212,-125.389836,,2903,2903,,,
TN326,,,,RS01SLBS-LJ01A,2,1,2015-07-06T22:32:58,2016-07-16T00:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00010,,44.515179,-125.389881,,2902,2902,,,
SKQ201610S,,,,RS01SLBS-LJ01A,3,1,2016-08-08T20:21:00,2017-08-11T23:00:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,,44.515203,-125.389850,,2907,2907,,,
RR1713,,,,RS01SLBS-LJ01A,4,1,2017-07-29T19:00:00,2020-08-03T04:08:00,RS01SLBS-LJ01A-0000,ATAPL-65310-00010,,44.515242,-125.389962,,2892,2892,,,
TN382,,,,RS01SLBS-LJ01A,5,1,2020-08-04T16:00:00,,RS01SLBS-LJ01A-0000,ATAPL-65310-00003,,44.515229,-125.389891,,2905,2905,,,
TN299,,,,RS01SLBS-MJ01A,1,1,2013-08-08T06:08:55,2016-07-17T00:00:00,RS01SLBS-MJ01A-0000,ATAPL-65244-00026,,44.509829,-125.405198,,2909,2909,,,
SKQ201610S,,,,RS01SLBS-MJ01A,2,1,2016-07-17T07:30:00,,RS01SLBS-MJ01A-0000,ATAPL-65244-00032,,44.509700,-125.405176,,2909,2909,,,
TN393,,,,RS01SLBS-MJ01A,3,1,2021-08-07T02:42:30,2022-09-03T00:43:09,RS01SLBS-MJ01A-0000,ATAPL-65244-00035,,44.509720,-125.405161,,2907,2907,,,
TN407,,,,RS01SLBS-MJ01A,4,1,2022-09-03T05:44:57,,RS01SLBS-MJ01A-0000,ATAPL-65244-00032,,44.509837,-125.405161,,2906,2906,,,
TN268,,,,RS01SLBS-PN01A,1,,2012-07-01T00:00:00,,RS01SLBS-PN01A-0000,ATSOO-70232-PN01A,,44.509568,-125.398242,,2900,2900,,,
TN313,,,,RS01SUM1-LJ01B,1,1,2014-09-01T19:33:00,2016-07-23T00:00:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,,44.569182,-125.148051,,776,776,,,
SKQ201610S,,,,RS01SUM1-LJ01B,2,1,2016-07-24T04:21:00,2019-06-25T00:35:00,RS01SUM1-LJ01B-0000,ATAPL-65310-00012,,44.569175,-125.148092,,778,778,,,
AT42-12,,,,RS01SUM1-LJ01B,3,1,2019-06-25T22:14:00,,RS01SUM1-LJ01B-0000,ATAPL-65310-00004,,44.569145,-125.148140,,778,778,,,
TN313,,,,RS01SUM1-LV01B,1,1,2014-09-06T14:58:00,2022-08-20T02:51:43,RS01SUM1-LV01B-0000,ATAPL-65291-00044,,44.569181,-125.148070,,776,776,,,
TN407,,,,RS01SUM1-LV01B,2,1,2022-08-20T03:11:22,,RS01SUM1-LV01B-0000,ATAPL-65291-00043,,44.569150,-125.148218,,778,778,,,
TN313,,,,RS01SUM1-PN01B,1,1,2012-07-01T00:00:00,2021-08-12T02:40:00,RS01SUM1-PN01B-0000,ATSOO-70232-PN01B,,44.481442,-125.148328,,1242,1242,,,
TN407,,,,RS01SUM1-PN01B,2,1,2022-06-27T00:00:00,,RS01SUM1-PN01B-0000,ATSOO-70232-PN11B,,44.478328,-125.151210,,1261,1261,,,
TN313,,,,RS01SUM2-MJ01B,1,1,2014-08-29T07:24:46,2018-06-25T19:30:00,RS01SUM2-MJ01B-0000,ATAPL-65244-00024,,44.569833,-125.146823,,772,772,,,
RR1809,,,,RS01SUM2-MJ01B,2,1,2018-06-26T16:30:00,,RS01SUM2-MJ01B-0000,ATAPL-65244-00034,,44.569839,-125.146776,,775,775,,,
TN299,,,,RS03ASHS-MJ03B,1,1,2013-08-15T15:38:00,2014-07-28T08:12:36,RS03ASHS-MJ03B-0000,ATAPL-65244-00027,,45.93371,-130.01385,,1540,1540,,,
TN313,,,,RS03ASHS-MJ03B,2,1,2014-09-28T02:21:00,2017-08-13T23:30:00,RS03ASHS-MJ03B-0000,ATAPL-65244-00033,,45.933726,-130.013915,,1541,1541,,,
RR1714,,,,RS03ASHS-MJ03B,3,1,2017-08-15T00:00:00,2018-07-04T00:00:00,RS03ASHS-MJ03B-0000,ATAPL-65244-00027,,45.933720,-130.013915,,1540,1540,,,
RR1810,,,,RS03ASHS-MJ03B,4,1,2018-07-04T00:00:00,,RS03ASHS-MJ03B-0000,ATAPL-65244-00033,,45.933738,-130.013899,,1544,1544,,,
TN313,,,,RS03AXBS-LJ03A,1,1,2014-08-07T17:45:00,2015-06-13T00:00:00,RS03AXBS-LJ03A-0000,ATAPL-65310-00007,,45.816802,-129.754157,,2609,2609,,,
